BPIC2012_10000_ORDERING_1.0_2.xes,0.977255
Sepsis_1000_MIXED_0.2_5.xes,0.998152
RTFMS_100000_INSERTION_10.0_3.xes,0.030822
Sepsis_1000_MIXED_0.1_4.xes,0.998152
BPIC2012_40000_MIXED_0.2_1.xes,0.985103
RTFMS_100000_ABSENCE_10.0_4.xes,0.591398
Sepsis_100000_ABSENCE_10.0_4.xes,0.146697
BPIC2012_10000_SUBSTITUTION_4.0_3.xes,0.850975
BPIC2012_2000_MIXED_0.1_3.xes,0.997429
Sepsis_2000_ABSENCE_0.2_2.xes,0.994667
BPIC2012_1000_INSERTION_10.0_4.xes,0.757634
RTFMS_20000_ABSENCE_10.0_5.xes,0.595890
Sepsis_10000_INSERTION_2.0_5.xes,0.809569
Sepsis_40000_INSERTION_2.0_5.xes,0.519656
BPIC2012_1000_INSERTION_0.4_5.xes,0.990783
RTFMS_1000_ORDERING_4.0_1.xes,0.604651
Sepsis_4000_ABSENCE_2.0_5.xes,0.917778
Sepsis_100000_ORDERING_0.4_2.xes,0.707950
RTFMS_4000_SUBSTITUTION_0.2_3.xes,0.857143
Sepsis_4000_SUBSTITUTION_2.0_1.xes,0.909592
Sepsis_40000_ABSENCE_0.2_3.xes,0.921569
BPIC2012_4000_MIXED_1.0_1.xes,0.969957
RTFMS_100000_INSERTION_1.0_5.xes,0.214555
RTFMS_100000_INSERTION_4.0_4.xes,0.072130
BPIC2012_4000_MIXED_4.0_2.xes,0.889260
BPIC2012_20000_SUBSTITUTION_1.0_2.xes,0.946400
BPIC2012_10000_ORDERING_4.0_4.xes,0.922102
BPIC2012_20000_ABSENCE_1.0_1.xes,0.963922
RTFMS_4000_INSERTION_10.0_1.xes,0.143750
BPIC2012_40000_ABSENCE_1.0_3.xes,0.952653
RTFMS_40000_INSERTION_0.2_2.xes,0.659341
BPIC2012_40000_ORDERING_0.2_2.xes,0.990014
Sepsis_40000_SUBSTITUTION_10.0_1.xes,0.181506
BPIC2012_100000_ABSENCE_4.0_3.xes,0.707341
RTFMS_100000_ABSENCE_4.0_1.xes,0.668000
RTFMS_4000_INSERTION_0.4_4.xes,0.714286
Sepsis_20000_ABSENCE_2.0_4.xes,0.707358
Sepsis_40000_ORDERING_1.0_4.xes,0.706177
RTFMS_20000_SUBSTITUTION_10.0_5.xes,0.071605
Sepsis_10000_ABSENCE_10.0_4.xes,0.516168
Sepsis_1000_MIXED_1.0_5.xes,0.974499
RTFMS_10000_MIXED_1.0_5.xes,0.515152
BPIC2012_40000_SUBSTITUTION_0.4_2.xes,0.964542
BPIC2012_20000_MIXED_10.0_3.xes,0.682305
Sepsis_100000_ABSENCE_0.4_4.xes,0.707358
RTFMS_40000_SUBSTITUTION_10.0_2.xes,0.049936
BPIC2012_1000_MIXED_2.0_4.xes,0.940000
BPIC2012_2000_SUBSTITUTION_4.0_5.xes,0.881594
RTFMS_10000_SUBSTITUTION_2.0_3.xes,0.308411
RTFMS_100000_ABSENCE_2.0_2.xes,0.745614
BPIC2012_20000_ORDERING_10.0_1.xes,0.778798
Sepsis_10000_INSERTION_4.0_1.xes,0.680064
Sepsis_20000_INSERTION_1.0_5.xes,0.809569
Sepsis_40000_SUBSTITUTION_0.2_3.xes,0.914595
BPIC2012_40000_INSERTION_0.1_1.xes,0.990485
Sepsis_2000_INSERTION_1.0_5.xes,0.969974
BPIC2012_20000_MIXED_1.0_5.xes,0.955252
BPIC2012_40000_MIXED_0.1_3.xes,0.990961
BPIC2012_40000_MIXED_2.0_3.xes,0.872323
Sepsis_40000_SUBSTITUTION_0.1_4.xes,0.954853
BPIC2012_100000_MIXED_0.1_3.xes,0.979578
RTFMS_1000_MIXED_0.4_4.xes,0.866667
Sepsis_2000_SUBSTITUTION_2.0_2.xes,0.940204
Sepsis_20000_MIXED_0.4_4.xes,0.917570
Sepsis_4000_MIXED_10.0_4.xes,0.677446
BPIC2012_40000_ORDERING_0.4_3.xes,0.982071
RTFMS_10000_SUBSTITUTION_4.0_1.xes,0.197640
RTFMS_40000_ORDERING_0.2_3.xes,0.834483
Sepsis_100000_MIXED_1.0_4.xes,0.477696
RTFMS_40000_INSERTION_0.2_3.xes,0.664835
BPIC2012_100000_ORDERING_4.0_1.xes,0.732137
Sepsis_1000_SUBSTITUTION_0.1_4.xes,0.998152
Sepsis_4000_MIXED_0.1_5.xes,0.996386
BPIC2012_1000_ORDERING_4.0_5.xes,0.925275
RTFMS_100000_MIXED_0.2_5.xes,0.630996
BPIC2012_4000_MIXED_4.0_3.xes,0.876077
BPIC2012_40000_SUBSTITUTION_4.0_4.xes,0.749413
RTFMS_10000_ORDERING_0.1_4.xes,0.918919
